"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: double sine/horizontal"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,1.15,1.15
1/2/2020   ,36,67,5.56,6.71
1/3/2020   ,33,59,2.45,9.16
1/4/2020   ,37,59,2.59,11.75
1/5/2020   ,38,63,4.14,15.89
1/6/2020   ,36,58,2.00,17.90
1/7/2020   ,30,53,0.56,18.46
1/8/2020   ,41,50,0.00,18.46
1/9/2020   ,37,53,0.53,18.98
1/10/2020  ,32,55,1.19,20.18
1/11/2020  ,42,61,3.57,23.75
1/12/2020  ,37,57,1.88,25.63
1/13/2020  ,39,58,2.28,27.91
1/14/2020  ,38,57,1.73,29.64
1/15/2020  ,31,51,0.11,29.75
1/16/2020  ,39,58,2.17,31.92
1/17/2020  ,34,47,0.00,31.92
1/18/2020  ,35,54,0.81,32.73
1/19/2020  ,36,48,0.00,32.73
1/20/2020  ,39,53,0.59,33.33
1/21/2020  ,38,58,2.40,35.72
1/22/2020  ,42,60,3.38,39.10
1/23/2020  ,42,57,2.10,41.21
1/24/2020  ,41,60,3.61,44.82
1/25/2020  ,46,62,6.44,51.25
1/26/2020  ,54,67,9.50,60.75
1/27/2020  ,50,64,6.81,67.56
1/28/2020  ,49,62,5.25,72.80
1/29/2020  ,46,69,7.90,80.71
1/30/2020  ,43,67,6.36,87.06
1/31/2020  ,39,67,6.27,93.34
2/1/2020   ,42,67,6.57,99.91
2/2/2020   ,43,59,2.92,102.83
2/3/2020   ,40,55,1.23,104.06
2/4/2020   ,38,57,1.77,105.83
2/5/2020   ,33,63,3.82,109.65
2/6/2020   ,33,67,5.41,115.06
2/7/2020   ,33,65,4.64,119.70
2/8/2020   ,34,64,5.29,125.00
2/9/2020   ,48,62,6.16,131.16
2/10/2020  ,52,73,10.64,141.80
2/11/2020  ,44,76,9.26,151.06
2/12/2020  ,35,68,5.97,157.04
2/13/2020  ,34,65,4.88,161.92
2/14/2020  ,38,66,5.45,167.36
2/15/2020  ,37,66,6.50,173.86
2/16/2020  ,49,67,9.05,182.91
2/17/2020  ,53,71,10.27,193.18
2/18/2020  ,44,67,6.27,199.46
2/19/2020  ,36,67,5.88,205.34
2/20/2020  ,39,67,6.13,211.46
2/21/2020  ,40,74,9.06,220.52
2/22/2020  ,43,76,9.70,230.22
2/23/2020  ,42,64,4.89,235.11
