"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: double triangle/horizontal"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.70,0.70
1/2/2020   ,36,67,4.46,5.15
1/3/2020   ,33,59,1.70,6.85
1/4/2020   ,37,59,1.88,8.74
1/5/2020   ,38,63,3.25,11.99
1/6/2020   ,36,58,1.30,13.29
1/7/2020   ,30,53,0.29,13.58
1/8/2020   ,41,50,0.00,13.58
1/9/2020   ,37,53,0.25,13.82
1/10/2020  ,32,55,0.75,14.58
1/11/2020  ,42,61,2.85,17.43
1/12/2020  ,37,57,1.29,18.72
1/13/2020  ,39,58,1.64,20.36
1/14/2020  ,38,57,1.12,21.48
1/15/2020  ,31,51,0.03,21.51
1/16/2020  ,39,58,1.51,23.02
1/17/2020  ,34,47,0.00,23.02
1/18/2020  ,35,54,0.43,23.45
1/19/2020  ,36,48,0.00,23.45
1/20/2020  ,39,53,0.31,23.76
1/21/2020  ,38,58,1.80,25.56
1/22/2020  ,42,60,2.78,28.34
1/23/2020  ,42,57,1.58,29.92
1/24/2020  ,41,60,3.10,33.03
1/25/2020  ,46,62,6.25,39.28
1/26/2020  ,54,67,9.50,48.78
1/27/2020  ,50,64,6.77,55.54
1/28/2020  ,49,62,5.02,60.56
1/29/2020  ,46,69,7.40,67.96
1/30/2020  ,43,67,5.59,73.55
1/31/2020  ,39,67,5.47,79.02
2/1/2020   ,42,67,5.90,84.92
2/2/2020   ,43,59,2.33,87.25
2/3/2020   ,40,55,0.78,88.03
2/4/2020   ,38,57,1.16,89.19
2/5/2020   ,33,63,2.82,92.01
2/6/2020   ,33,67,4.25,96.26
2/7/2020   ,33,65,3.57,99.83
2/8/2020   ,34,64,4.70,104.52
2/9/2020   ,48,62,6.07,110.60
2/10/2020  ,52,73,10.63,121.22
2/11/2020  ,44,76,8.90,130.12
2/12/2020  ,35,68,4.84,134.96
2/13/2020  ,34,65,3.90,138.86
2/14/2020  ,38,66,4.49,143.35
2/15/2020  ,37,66,5.97,149.32
2/16/2020  ,49,67,9.01,158.34
2/17/2020  ,53,71,10.06,168.40
2/18/2020  ,44,67,5.47,173.87
2/19/2020  ,36,67,4.91,178.78
2/20/2020  ,39,67,5.26,184.04
2/21/2020  ,40,74,8.63,192.67
2/22/2020  ,43,76,9.55,202.22
2/23/2020  ,42,64,4.11,206.34
2/24/2020  ,38,75,9.41,215.75
2/25/2020  ,47,77,10.26,226.01
2/26/2020  ,40,75,8.97,234.98
2/27/2020  ,43,77,10.00,244.98
2/28/2020  ,43,74,10.35,255.33
2/29/2020  ,50,69,8.67,264.01
3/1/2020   ,46,62,5.25,269.26
3/2/2020   ,50,72,10.07,279.33
3/3/2020   ,46,81,11.25,290.58
3/4/2020   ,41,77,9.32,299.89
3/5/2020   ,40,74,8.63,308.53
3/6/2020   ,43,63,3.80,312.33
3/7/2020   ,38,60,2.18,314.51
3/8/2020   ,36,58,2.18,316.69
3/9/2020   ,47,66,5.83,322.52
3/10/2020  ,40,76,9.02,331.53
3/11/2020  ,41,73,8.71,340.24
3/12/2020  ,45,81,11.51,351.75
3/13/2020  ,44,68,6.90,358.65
3/14/2020  ,45,55,1.19,359.84
3/15/2020  ,44,55,0.96,360.80
3/16/2020  ,39,49,0.00,360.80
3/17/2020  ,41,55,0.97,361.76
3/18/2020  ,43,53,0.36,362.12
3/19/2020  ,36,61,2.37,364.50
3/20/2020  ,35,64,3.65,368.14
3/21/2020  ,39,66,4.83,372.98
3/22/2020  ,40,69,6.87,379.85
3/23/2020  ,45,65,5.06,384.91
3/24/2020  ,40,58,1.62,386.53
3/25/2020  ,36,57,1.12,387.64
3/26/2020  ,34,61,2.28,389.93
3/27/2020  ,35,63,3.99,393.92
3/28/2020  ,46,58,2.67,396.59
3/29/2020  ,46,62,4.37,400.96
3/30/2020  ,45,67,8.03,408.99
3/31/2020  ,52,72,10.57,419.56
4/1/2020   ,46,66,6.40,425.96
4/2/2020   ,46,69,7.04,432.99
4/3/2020   ,40,67,5.57,438.56
4/4/2020   ,42,57,1.84,440.39
4/5/2020   ,45,56,1.38,441.78
4/6/2020   ,40,59,2.26,444.03
4/7/2020   ,42,66,5.58,449.61
4/8/2020   ,44,64,5.72,455.33
4/9/2020   ,49,64,7.02,462.34
4/10/2020  ,51,73,10.90,473.24
4/11/2020  ,47,72,9.60,482.84
4/12/2020  ,47,75,10.91,493.75
4/13/2020  ,48,77,12.39,506.14
4/14/2020  ,51,80,12.29,518.44
4/15/2020  ,43,81,12.09,530.53
4/16/2020  ,49,80,13.12,543.64
4/17/2020  ,50,73,11.07,554.71
4/18/2020  ,49,70,8.33,563.05
4/19/2020  ,42,72,9.22,572.26
4/20/2020  ,49,70,8.76,581.02
4/21/2020  ,45,78,11.66,592.69
4/22/2020  ,49,77,14.39,607.08
4/23/2020  ,59,84,16.66,623.73
4/24/2020  ,54,90,17.77,641.50
4/25/2020  ,63,89,18.04,659.55
4/26/2020  ,56,85,16.05,675.60
4/27/2020  ,53,85,16.90,692.50
4/28/2020  ,61,89,17.96,710.45
4/29/2020  ,57,84,17.71,728.16
4/30/2020  ,62,82,16.71,744.87
5/1/2020   ,53,83,15.97,760.84
5/2/2020   ,57,73,12.78,773.61
5/3/2020   ,49,77,11.93,785.55
5/4/2020   ,48,82,12.94,798.49
5/5/2020   ,48,83,13.75,812.24
5/6/2020   ,51,85,15.09,827.33
5/7/2020   ,53,83,14.98,842.31
5/8/2020   ,52,93,15.88,858.18
5/9/2020   ,51,91,15.67,873.85
5/10/2020  ,52,82,13.97,887.81
5/11/2020  ,49,71,10.74,898.55
5/12/2020  ,52,85,15.48,914.03
5/13/2020  ,54,86,15.22,929.25
5/14/2020  ,50,70,11.50,940.75
5/15/2020  ,56,79,16.55,957.31
5/16/2020  ,60,79,16.34,973.65
5/17/2020  ,55,85,15.67,989.32
5/18/2020  ,52,69,10.25,999.57
5/19/2020  ,51,73,10.90,1010.47
5/20/2020  ,47,76,12.38,1022.84
5/21/2020  ,53,83,14.98,1037.82
5/22/2020  ,52,78,15.08,1052.91
5/23/2020  ,58,87,16.63,1069.54
5/24/2020  ,53,92,16.94,1086.48
5/25/2020  ,57,96,18.55,1105.03
5/26/2020  ,63,101,19.56,1124.59
5/27/2020  ,66,100,19.03,1143.61
5/28/2020  ,58,101,18.20,1161.82
5/29/2020  ,57,89,18.09,1179.90
5/30/2020  ,62,76,16.86,1196.76
5/31/2020  ,58,79,16.97,1213.73
6/1/2020   ,60,86,18.08,1231.81
6/2/2020   ,60,95,18.90,1250.71
6/3/2020   ,63,100,19.04,1269.75
6/4/2020   ,60,98,18.44,1288.20
6/5/2020   ,58,82,17.00,1305.20
6/6/2020   ,58,78,16.19,1321.38
6/7/2020   ,57,88,17.44,1338.82
6/8/2020   ,58,83,16.55,1355.37
6/9/2020   ,55,90,17.94,1373.31
6/10/2020  ,63,96,18.81,1392.12
6/11/2020  ,59,93,18.08,1410.21
6/12/2020  ,58,76,15.32,1425.53
6/13/2020  ,55,77,15.76,1441.29
6/14/2020  ,59,84,18.46,1459.75
6/15/2020  ,65,85,18.69,1478.44
6/16/2020  ,60,81,18.28,1496.72
6/17/2020  ,64,87,18.53,1515.25
6/18/2020  ,59,94,18.14,1533.38
6/19/2020  ,58,96,17.83,1551.21
6/20/2020  ,56,91,17.65,1568.86
6/21/2020  ,59,93,18.22,1587.08
6/22/2020  ,59,99,18.99,1606.07
6/23/2020  ,64,98,19.29,1625.36
6/24/2020  ,62,99,18.93,1644.29
6/25/2020  ,60,95,18.45,1662.73
6/26/2020  ,59,95,18.45,1681.18
6/27/2020  ,60,95,18.45,1699.63
6/28/2020  ,59,87,18.64,1718.26
6/29/2020  ,65,88,18.84,1737.10
6/30/2020  ,60,91,17.63,1754.73
7/1/2020   ,55,92,16.96,1771.69
7/2/2020   ,55,88,17.68,1789.37
7/3/2020   ,62,96,17.85,1807.22
7/4/2020   ,53,93,17.17,1824.38
7/5/2020   ,58,95,17.77,1842.15
7/6/2020   ,56,90,16.61,1858.76
7/7/2020   ,53,89,17.73,1876.49
7/8/2020   ,65,94,19.17,1895.66
7/9/2020   ,61,98,18.79,1914.46
7/10/2020  ,60,98,18.57,1933.02
7/11/2020  ,59,103,18.63,1951.65
7/12/2020  ,59,101,18.77,1970.42
7/13/2020  ,61,92,18.29,1988.71
7/14/2020  ,58,92,17.88,2006.59
7/15/2020  ,58,96,18.58,2025.17
7/16/2020  ,62,94,18.89,2044.06
7/17/2020  ,61,93,18.61,2062.67
7/18/2020  ,60,96,18.73,2081.40
7/19/2020  ,61,97,18.76,2100.16
7/20/2020  ,60,96,18.49,2118.65
7/21/2020  ,59,93,18.35,2137.00
7/22/2020  ,60,96,18.08,2155.08
7/23/2020  ,56,94,17.71,2172.79
7/24/2020  ,58,94,17.56,2190.35
7/25/2020  ,55,95,17.88,2208.23
7/26/2020  ,60,100,18.86,2227.08
7/27/2020  ,61,101,18.77,2245.86
7/28/2020  ,59,100,18.64,2264.49
7/29/2020  ,60,96,18.61,2283.10
7/30/2020  ,60,96,17.46,2300.57
7/31/2020  ,52,97,16.56,2317.13
8/1/2020   ,53,94,17.24,2334.37
8/2/2020   ,58,98,18.44,2352.81
8/3/2020   ,60,99,18.48,2371.29
8/4/2020   ,58,95,18.19,2389.47
8/5/2020   ,59,95,17.90,2407.38
8/6/2020   ,56,90,17.86,2425.24
8/7/2020   ,61,96,18.95,2444.19
8/8/2020   ,62,95,19.03,2463.22
