"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: double triangle/intermediate"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.70,0.70
1/2/2020   ,36,67,4.46,5.15
1/3/2020   ,33,59,1.70,6.85
1/4/2020   ,37,59,1.88,8.74
1/5/2020   ,38,63,3.25,11.99
1/6/2020   ,36,58,1.30,13.29
1/7/2020   ,30,53,0.29,13.58
1/8/2020   ,41,50,0.00,13.58
1/9/2020   ,37,53,0.25,13.82
1/10/2020  ,32,55,0.75,14.58
1/11/2020  ,42,61,2.85,17.43
1/12/2020  ,37,57,1.29,18.72
1/13/2020  ,39,58,1.64,20.36
1/14/2020  ,38,57,1.12,21.48
1/15/2020  ,31,51,0.03,21.51
1/16/2020  ,39,58,1.51,23.02
1/17/2020  ,34,47,0.00,23.02
1/18/2020  ,35,54,0.43,23.45
1/19/2020  ,36,48,0.00,23.45
1/20/2020  ,39,53,0.31,23.76
1/21/2020  ,38,58,1.80,25.56
1/22/2020  ,42,60,2.78,28.34
1/23/2020  ,42,57,1.58,29.92
1/24/2020  ,41,60,3.10,33.03
1/25/2020  ,46,62,6.25,39.28
1/26/2020  ,54,67,9.50,48.78
1/27/2020  ,50,64,6.77,55.54
1/28/2020  ,49,62,5.02,60.56
1/29/2020  ,46,69,7.40,67.96
1/30/2020  ,43,67,5.59,73.55
1/31/2020  ,39,67,5.47,79.02
2/1/2020   ,42,67,5.90,84.92
2/2/2020   ,43,59,2.33,87.25
2/3/2020   ,40,55,0.78,88.03
2/4/2020   ,38,57,1.16,89.19
2/5/2020   ,33,63,2.82,92.01
2/6/2020   ,33,67,4.25,96.26
2/7/2020   ,33,65,3.57,99.83
2/8/2020   ,34,64,4.70,104.52
2/9/2020   ,48,62,6.07,110.60
2/10/2020  ,52,73,10.44,121.04
2/11/2020  ,44,76,8.40,129.44
2/12/2020  ,35,68,4.84,134.28
2/13/2020  ,34,65,3.90,138.17
2/14/2020  ,38,66,4.49,142.67
2/15/2020  ,37,66,5.97,148.64
2/16/2020  ,49,67,9.01,157.65
2/17/2020  ,53,71,10.04,167.69
2/18/2020  ,44,67,5.47,173.16
2/19/2020  ,36,67,4.91,178.07
2/20/2020  ,39,67,5.26,183.33
2/21/2020  ,40,74,8.39,191.71
2/22/2020  ,43,76,9.02,200.73
2/23/2020  ,42,64,4.11,204.84
2/24/2020  ,38,75,9.02,213.86
2/25/2020  ,47,77,9.52,223.38
2/26/2020  ,40,75,8.60,231.98
2/27/2020  ,43,77,9.28,241.26
2/28/2020  ,43,74,10.05,251.32
2/29/2020  ,50,69,8.67,259.99
3/1/2020   ,46,62,5.25,265.24
3/2/2020   ,50,72,9.99,275.23
3/3/2020   ,46,81,9.63,284.86
3/4/2020   ,41,77,8.65,293.50
3/5/2020   ,40,74,8.39,301.89
3/6/2020   ,43,63,3.80,305.69
3/7/2020   ,38,60,2.18,307.87
3/8/2020   ,36,58,2.18,310.05
3/9/2020   ,47,66,5.83,315.88
3/10/2020  ,40,76,8.51,324.39
3/11/2020  ,41,73,8.55,332.94
3/12/2020  ,45,81,9.85,342.80
3/13/2020  ,44,68,6.90,349.69
3/14/2020  ,45,55,1.19,350.89
3/15/2020  ,44,55,0.96,351.84
3/16/2020  ,39,49,0.00,351.84
3/17/2020  ,41,55,0.97,352.81
3/18/2020  ,43,53,0.36,353.17
3/19/2020  ,36,61,2.37,355.54
3/20/2020  ,35,64,3.65,359.19
3/21/2020  ,39,66,4.83,364.02
3/22/2020  ,40,69,6.87,370.90
3/23/2020  ,45,65,5.06,375.96
3/24/2020  ,40,58,1.62,377.58
3/25/2020  ,36,57,1.12,378.69
3/26/2020  ,34,61,2.28,380.97
3/27/2020  ,35,63,3.99,384.97
3/28/2020  ,46,58,2.67,387.64
3/29/2020  ,46,62,4.37,392.00
3/30/2020  ,45,67,8.03,400.04
3/31/2020  ,52,72,10.48,410.51
4/1/2020   ,46,66,6.40,416.91
4/2/2020   ,46,69,7.04,423.95
4/3/2020   ,40,67,5.57,429.52
4/4/2020   ,42,57,1.84,431.35
4/5/2020   ,45,56,1.38,432.73
4/6/2020   ,40,59,2.26,434.99
4/7/2020   ,42,66,5.58,440.57
4/8/2020   ,44,64,5.72,446.28
4/9/2020   ,49,64,7.02,453.30
4/10/2020  ,51,73,10.71,464.01
4/11/2020  ,47,72,9.52,473.53
4/12/2020  ,47,75,10.46,483.99
4/13/2020  ,48,77,11.50,495.48
4/14/2020  ,51,80,10.76,506.24
4/15/2020  ,43,81,10.35,516.59
4/16/2020  ,49,80,11.48,528.07
4/17/2020  ,50,73,10.88,538.94
4/18/2020  ,49,70,8.33,547.28
4/19/2020  ,42,72,9.14,556.42
4/20/2020  ,49,70,8.76,565.18
4/21/2020  ,45,78,10.62,575.80
4/22/2020  ,49,77,13.27,589.08
4/23/2020  ,59,84,13.06,602.14
4/24/2020  ,54,90,11.29,613.43
4/25/2020  ,63,89,11.84,625.27
4/26/2020  ,56,85,12.36,637.62
4/27/2020  ,53,85,12.80,650.42
4/28/2020  ,61,89,11.91,662.33
4/29/2020  ,57,84,13.67,676.00
4/30/2020  ,62,82,13.67,689.66
5/1/2020   ,53,83,12.93,702.60
5/2/2020   ,57,73,12.54,715.14
5/3/2020   ,49,77,11.07,726.21
5/4/2020   ,48,82,10.82,737.04
5/5/2020   ,48,83,11.22,748.26
5/6/2020   ,51,85,11.68,759.93
5/7/2020   ,53,83,12.21,772.14
5/8/2020   ,52,93,9.50,781.64
5/9/2020   ,51,91,10.08,791.73
5/10/2020  ,52,82,11.68,803.40
5/11/2020  ,49,71,10.71,814.12
5/12/2020  ,52,85,11.96,826.08
5/13/2020  ,54,86,11.44,837.52
5/14/2020  ,50,70,11.50,849.02
5/15/2020  ,56,79,14.61,863.63
5/16/2020  ,60,79,14.43,878.06
5/17/2020  ,55,85,12.09,890.15
5/18/2020  ,52,69,10.25,900.40
5/19/2020  ,51,73,10.71,911.11
5/20/2020  ,47,76,11.67,922.78
5/21/2020  ,53,83,12.21,934.99
5/22/2020  ,52,78,13.67,948.66
5/23/2020  ,58,87,12.02,960.68
5/24/2020  ,53,92,10.38,971.06
5/25/2020  ,57,96,9.09,980.15
5/26/2020  ,63,101,6.38,986.53
5/27/2020  ,66,100,7.05,993.58
5/28/2020  ,58,101,7.16,1000.73
5/29/2020  ,57,89,11.92,1012.66
5/30/2020  ,62,76,15.71,1028.37
5/31/2020  ,58,79,14.94,1043.31
6/1/2020   ,60,86,13.15,1056.46
6/2/2020   ,60,95,9.56,1066.02
6/3/2020   ,63,100,7.34,1073.36
6/4/2020   ,60,98,8.38,1081.74
6/5/2020   ,58,82,14.00,1095.74
6/6/2020   ,58,78,14.63,1110.37
6/7/2020   ,57,88,12.12,1122.49
6/8/2020   ,58,83,13.35,1135.84
6/9/2020   ,55,90,11.38,1147.22
6/10/2020  ,63,96,9.12,1156.35
6/11/2020  ,59,93,10.41,1166.76
6/12/2020  ,58,76,14.39,1181.15
6/13/2020  ,55,77,14.53,1195.68
6/14/2020  ,59,84,13.92,1209.60
6/15/2020  ,65,85,13.63,1223.22
6/16/2020  ,60,81,15.06,1238.28
6/17/2020  ,64,87,12.81,1251.09
6/18/2020  ,59,94,10.02,1261.11
6/19/2020  ,58,96,9.16,1270.27
6/20/2020  ,56,91,11.06,1281.33
6/21/2020  ,59,93,10.44,1291.77
6/22/2020  ,59,99,7.72,1299.49
6/23/2020  ,64,98,8.08,1307.57
6/24/2020  ,62,99,7.85,1315.43
6/25/2020  ,60,95,9.64,1325.07
6/26/2020  ,59,95,9.64,1334.71
6/27/2020  ,60,95,9.64,1344.35
6/28/2020  ,59,87,12.77,1357.12
6/29/2020  ,65,88,12.42,1369.54
6/30/2020  ,60,91,11.01,1380.55
7/1/2020   ,55,92,10.42,1390.97
7/2/2020   ,55,88,12.11,1403.08
7/3/2020   ,62,96,8.95,1412.03
7/4/2020   ,53,93,10.08,1422.11
7/5/2020   ,58,95,9.54,1431.65
7/6/2020   ,56,90,10.96,1442.61
7/7/2020   ,53,89,11.47,1454.08
7/8/2020   ,65,94,9.84,1463.92
7/9/2020   ,61,98,8.34,1472.26
7/10/2020  ,60,98,8.38,1480.64
7/11/2020  ,59,103,6.25,1486.89
7/12/2020  ,59,101,7.05,1493.94
7/13/2020  ,61,92,10.83,1504.77
7/14/2020  ,58,92,10.76,1515.53
7/15/2020  ,58,96,9.16,1524.70
7/16/2020  ,62,94,10.02,1534.72
7/17/2020  ,61,93,10.47,1545.19
7/18/2020  ,60,96,9.20,1554.39
7/19/2020  ,61,97,8.77,1563.16
7/20/2020  ,60,96,9.23,1572.39
7/21/2020  ,59,93,10.46,1582.85
7/22/2020  ,60,96,9.16,1592.01
7/23/2020  ,56,94,9.92,1601.93
7/24/2020  ,58,94,9.87,1611.79
7/25/2020  ,55,95,9.51,1621.30
7/26/2020  ,60,100,7.46,1628.76
7/27/2020  ,61,101,7.05,1635.81
7/28/2020  ,59,100,7.52,1643.34
7/29/2020  ,60,96,9.22,1652.56
7/30/2020  ,60,96,8.93,1661.49
7/31/2020  ,52,97,8.37,1669.85
8/1/2020   ,53,94,9.73,1679.58
8/2/2020   ,58,98,8.38,1687.96
8/3/2020   ,60,99,7.96,1695.92
8/4/2020   ,58,95,9.62,1705.55
8/5/2020   ,59,95,9.56,1715.10
8/6/2020   ,56,90,11.47,1726.58
8/7/2020   ,61,96,9.15,1735.73
8/8/2020   ,62,95,9.56,1745.29
