"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: double triangle/vertical"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.70,0.70
1/2/2020   ,36,67,4.46,5.15
1/3/2020   ,33,59,1.70,6.85
1/4/2020   ,37,59,1.88,8.74
1/5/2020   ,38,63,3.25,11.99
1/6/2020   ,36,58,1.30,13.29
1/7/2020   ,30,53,0.29,13.58
1/8/2020   ,41,50,0.00,13.58
1/9/2020   ,37,53,0.25,13.82
1/10/2020  ,32,55,0.75,14.58
1/11/2020  ,42,61,2.85,17.43
1/12/2020  ,37,57,1.29,18.72
1/13/2020  ,39,58,1.64,20.36
1/14/2020  ,38,57,1.12,21.48
1/15/2020  ,31,51,0.03,21.51
1/16/2020  ,39,58,1.51,23.02
1/17/2020  ,34,47,0.00,23.02
1/18/2020  ,35,54,0.43,23.45
1/19/2020  ,36,48,0.00,23.45
1/20/2020  ,39,53,0.31,23.76
1/21/2020  ,38,58,1.80,25.56
1/22/2020  ,42,60,2.78,28.34
1/23/2020  ,42,57,1.58,29.92
1/24/2020  ,41,60,3.10,33.03
1/25/2020  ,46,62,6.25,39.28
1/26/2020  ,54,67,9.50,48.78
1/27/2020  ,50,64,6.77,55.54
1/28/2020  ,49,62,5.02,60.56
1/29/2020  ,46,69,7.40,67.96
1/30/2020  ,43,67,5.59,73.55
1/31/2020  ,39,67,5.47,79.02
2/1/2020   ,42,67,5.90,84.92
2/2/2020   ,43,59,2.33,87.25
2/3/2020   ,40,55,0.78,88.03
2/4/2020   ,38,57,1.16,89.19
2/5/2020   ,33,63,2.82,92.01
2/6/2020   ,33,67,4.25,96.26
2/7/2020   ,33,65,3.57,99.83
2/8/2020   ,34,64,4.70,104.52
2/9/2020   ,48,62,6.07,110.60
2/10/2020  ,52,73,8.16,118.76
2/11/2020  ,44,76,5.56,124.32
2/12/2020  ,35,68,4.84,129.16
2/13/2020  ,34,65,3.90,133.06
2/14/2020  ,38,66,4.49,137.55
2/15/2020  ,37,66,5.97,143.52
2/16/2020  ,49,67,9.01,152.54
2/17/2020  ,53,71,9.13,161.67
2/18/2020  ,44,67,5.47,167.14
2/19/2020  ,36,67,4.91,172.05
2/20/2020  ,39,67,5.26,177.31
2/21/2020  ,40,74,6.17,183.48
2/22/2020  ,43,76,5.97,189.45
2/23/2020  ,42,64,4.11,193.56
2/24/2020  ,38,75,6.27,199.83
2/25/2020  ,47,77,6.04,205.87
2/26/2020  ,40,75,5.98,211.85
2/27/2020  ,43,77,5.88,217.73
2/28/2020  ,43,74,7.39,225.13
2/29/2020  ,50,69,8.67,233.80
3/1/2020   ,46,62,5.25,239.05
3/2/2020   ,50,72,8.39,247.44
3/3/2020   ,46,81,5.36,252.80
3/4/2020   ,41,77,5.48,258.28
3/5/2020   ,40,74,6.17,264.45
3/6/2020   ,43,63,3.80,268.25
3/7/2020   ,38,60,2.18,270.43
3/8/2020   ,36,58,2.18,272.61
3/9/2020   ,47,66,5.83,278.44
3/10/2020  ,40,76,5.63,284.07
3/11/2020  ,41,73,6.70,290.77
3/12/2020  ,45,81,5.48,296.25
3/13/2020  ,44,68,6.90,303.15
3/14/2020  ,45,55,1.19,304.34
3/15/2020  ,44,55,0.96,305.30
3/16/2020  ,39,49,0.00,305.30
3/17/2020  ,41,55,0.97,306.27
3/18/2020  ,43,53,0.36,306.62
3/19/2020  ,36,61,2.37,309.00
3/20/2020  ,35,64,3.65,312.65
3/21/2020  ,39,66,4.83,317.48
3/22/2020  ,40,69,6.87,324.35
3/23/2020  ,45,65,5.06,329.41
3/24/2020  ,40,58,1.62,331.03
3/25/2020  ,36,57,1.12,332.15
3/26/2020  ,34,61,2.28,334.43
3/27/2020  ,35,63,3.99,338.42
3/28/2020  ,46,58,2.67,341.09
3/29/2020  ,46,62,4.37,345.46
3/30/2020  ,45,67,8.03,353.49
3/31/2020  ,52,72,8.80,362.29
4/1/2020   ,46,66,6.40,368.69
4/2/2020   ,46,69,7.04,375.72
4/3/2020   ,40,67,5.57,381.29
4/4/2020   ,42,57,1.84,383.13
4/5/2020   ,45,56,1.38,384.51
4/6/2020   ,40,59,2.26,386.77
4/7/2020   ,42,66,5.58,392.34
4/8/2020   ,44,64,5.72,398.06
4/9/2020   ,49,64,7.02,405.07
4/10/2020  ,51,73,8.38,413.45
4/11/2020  ,47,72,8.00,421.45
4/12/2020  ,47,75,7.28,428.73
4/13/2020  ,48,77,7.28,436.01
4/14/2020  ,51,80,6.14,442.16
4/15/2020  ,43,81,5.76,447.91
4/16/2020  ,49,80,6.56,454.47
4/17/2020  ,50,73,8.51,462.99
4/18/2020  ,49,70,8.33,471.32
4/19/2020  ,42,72,7.68,479.00
4/20/2020  ,49,70,8.76,487.76
4/21/2020  ,45,78,6.48,494.24
4/22/2020  ,49,77,8.00,502.24
4/23/2020  ,59,84,6.39,508.63
4/24/2020  ,54,90,4.81,513.44
4/25/2020  ,63,89,4.98,518.42
4/26/2020  ,56,85,6.19,524.61
4/27/2020  ,53,85,5.96,530.57
4/28/2020  ,61,89,5.23,535.81
4/29/2020  ,57,84,6.16,541.96
4/30/2020  ,62,82,6.57,548.54
5/1/2020   ,53,83,6.63,555.17
5/2/2020   ,57,73,9.65,564.82
5/3/2020   ,49,77,7.02,571.84
5/4/2020   ,48,82,5.88,577.72
5/5/2020   ,48,83,5.97,583.70
5/6/2020   ,51,85,5.99,589.68
5/7/2020   ,53,83,6.45,596.14
5/8/2020   ,52,93,4.79,600.93
5/9/2020   ,51,91,5.03,605.96
5/10/2020  ,52,82,6.33,612.29
5/11/2020  ,49,71,9.76,622.04
5/12/2020  ,52,85,6.10,628.14
5/13/2020  ,54,86,5.78,633.92
5/14/2020  ,50,70,11.50,645.42
5/15/2020  ,56,79,7.90,653.32
5/16/2020  ,60,79,7.85,661.18
5/17/2020  ,55,85,6.13,667.30
5/18/2020  ,52,69,10.25,677.55
5/19/2020  ,51,73,8.38,685.93
5/20/2020  ,47,76,7.70,693.63
5/21/2020  ,53,83,6.45,700.08
5/22/2020  ,52,78,8.01,708.09
5/23/2020  ,58,87,5.77,713.86
5/24/2020  ,53,92,5.01,718.87
5/25/2020  ,57,96,4.00,722.87
5/26/2020  ,63,101,2.55,725.42
5/27/2020  ,66,100,3.06,728.48
5/28/2020  ,58,101,3.95,732.43
5/29/2020  ,57,89,5.11,737.54
5/30/2020  ,62,76,9.24,746.78
5/31/2020  ,58,79,7.95,754.73
6/1/2020   ,60,86,5.77,760.50
6/2/2020   ,60,95,3.95,764.44
6/3/2020   ,63,100,3.44,767.88
6/4/2020   ,60,98,4.07,771.95
6/5/2020   ,58,82,7.00,778.95
6/6/2020   ,58,78,8.38,787.33
6/7/2020   ,57,88,5.63,792.96
6/8/2020   ,58,83,6.71,799.67
6/9/2020   ,55,90,4.82,804.49
6/10/2020  ,63,96,3.91,808.39
6/11/2020  ,59,93,4.75,813.14
6/12/2020  ,58,76,9.13,822.27
6/13/2020  ,55,77,8.69,830.96
6/14/2020  ,59,84,5.49,836.46
6/15/2020  ,65,85,5.19,841.64
6/16/2020  ,60,81,6.57,848.21
6/17/2020  ,64,87,5.07,853.28
6/18/2020  ,59,94,4.61,857.89
6/19/2020  ,58,96,4.49,862.38
6/20/2020  ,56,91,5.09,867.47
6/21/2020  ,59,93,4.69,872.16
6/22/2020  ,59,99,3.45,875.61
6/23/2020  ,64,98,3.28,878.89
6/24/2020  ,62,99,3.65,882.54
6/25/2020  ,60,95,4.36,886.90
6/26/2020  ,59,95,4.36,891.26
6/27/2020  ,60,95,4.36,895.62
6/28/2020  ,59,87,4.84,900.45
6/29/2020  ,65,88,4.58,905.03
6/30/2020  ,60,91,5.02,910.06
7/1/2020   ,55,92,5.07,915.13
7/2/2020   ,55,88,5.30,920.43
7/3/2020   ,62,96,4.16,924.58
7/4/2020   ,53,93,4.84,929.43
7/5/2020   ,58,95,4.60,934.03
7/6/2020   ,56,90,5.32,939.35
7/7/2020   ,53,89,4.54,943.89
7/8/2020   ,65,94,3.62,947.51
7/9/2020   ,61,98,3.86,951.37
7/10/2020  ,60,98,4.02,955.39
7/11/2020  ,59,103,3.63,959.01
7/12/2020  ,59,101,3.64,962.65
7/13/2020  ,61,92,4.72,967.38
7/14/2020  ,58,92,4.94,972.32
7/15/2020  ,58,96,4.09,976.41
7/16/2020  ,62,94,4.11,980.52
7/17/2020  ,61,93,4.45,984.98
7/18/2020  ,60,96,4.08,989.05
7/19/2020  ,61,97,3.96,993.02
7/20/2020  ,60,96,4.24,997.25
7/21/2020  ,59,93,4.62,1001.87
7/22/2020  ,60,96,4.36,1006.23
7/23/2020  ,56,94,4.73,1010.96
7/24/2020  ,58,94,4.74,1015.70
7/25/2020  ,55,95,4.49,1020.18
7/26/2020  ,60,100,3.66,1023.85
7/27/2020  ,61,101,3.64,1027.49
7/28/2020  ,59,100,3.82,1031.31
7/29/2020  ,60,96,4.17,1035.48
7/30/2020  ,60,96,4.33,1039.81
7/31/2020  ,52,97,4.42,1044.23
8/1/2020   ,53,94,4.72,1048.95
8/2/2020   ,58,98,4.07,1053.02
8/3/2020   ,60,99,3.97,1056.99
8/4/2020   ,58,95,4.49,1061.48
8/5/2020   ,59,95,4.55,1066.03
8/6/2020   ,56,90,5.08,1071.11
8/7/2020   ,61,96,3.88,1074.98
8/8/2020   ,62,95,3.88,1078.86
8/9/2020   ,62,98,3.28,1082.14
8/10/2020  ,64,99,3.29,1085.43
8/11/2020  ,61,93,4.62,1090.05
