"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: single sine/horizontal"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,1.19,1.19
1/2/2020   ,36,67,5.71,6.90
1/3/2020   ,33,59,2.34,9.23
1/4/2020   ,37,59,2.56,11.79
1/5/2020   ,38,63,4.23,16.02
1/6/2020   ,36,58,2.13,18.15
1/7/2020   ,30,53,0.47,18.62
1/8/2020   ,41,50,0.00,18.62
1/9/2020   ,37,53,0.56,19.18
1/10/2020  ,32,55,1.01,20.20
1/11/2020  ,42,61,3.81,24.01
1/12/2020  ,37,57,1.83,25.84
1/13/2020  ,39,58,2.31,28.15
1/14/2020  ,38,57,1.88,30.03
1/15/2020  ,31,51,0.10,30.12
1/16/2020  ,39,58,2.31,32.43
1/17/2020  ,34,47,0.00,32.43
1/18/2020  ,35,54,0.80,33.23
1/19/2020  ,36,48,0.00,33.23
1/20/2020  ,39,53,0.60,33.83
1/21/2020  ,38,58,2.25,36.08
1/22/2020  ,42,60,3.38,39.46
1/23/2020  ,42,57,2.14,41.60
1/24/2020  ,41,60,3.28,44.88
1/25/2020  ,46,62,4.87,49.75
1/26/2020  ,54,67,10.50,60.25
1/27/2020  ,50,64,7.00,67.25
1/28/2020  ,49,62,5.62,72.87
1/29/2020  ,46,69,8.22,81.09
1/30/2020  ,43,67,6.66,87.75
1/31/2020  ,39,67,6.06,93.81
2/1/2020   ,42,67,6.49,100.30
2/2/2020   ,43,59,3.07,103.37
2/3/2020   ,40,55,1.27,104.64
2/4/2020   ,38,57,1.88,106.52
2/5/2020   ,33,63,3.82,110.33
2/6/2020   ,33,67,5.41,115.74
2/7/2020   ,33,65,4.60,120.35
2/8/2020   ,34,64,4.29,124.63
2/9/2020   ,48,62,5.33,129.96
2/10/2020  ,52,73,12.01,141.97
2/11/2020  ,44,76,10.00,151.97
2/12/2020  ,35,68,6.02,157.99
2/13/2020  ,34,65,4.69,162.68
2/14/2020  ,38,66,5.50,168.18
2/15/2020  ,37,66,5.39,173.57
2/16/2020  ,49,67,8.10,181.67
2/17/2020  ,53,71,11.90,193.57
2/18/2020  ,44,67,6.84,200.41
2/19/2020  ,36,67,5.71,206.12
2/20/2020  ,39,67,6.06,212.18
2/21/2020  ,40,74,8.79,220.96
2/22/2020  ,43,76,9.79,230.76
2/23/2020  ,42,64,5.13,235.89
2/24/2020  ,38,75,8.72,244.60
2/25/2020  ,47,77,10.94,255.54
2/26/2020  ,40,75,9.03,264.57
2/27/2020  ,43,77,10.00,274.57
2/28/2020  ,43,74,9.33,283.89
2/29/2020  ,50,69,9.50,293.39
3/1/2020   ,46,62,4.87,298.27
3/2/2020   ,50,72,10.74,309.01
3/3/2020   ,46,81,11.37,320.38
3/4/2020   ,41,77,9.62,330.00
3/5/2020   ,40,74,8.79,338.79
3/6/2020   ,43,63,4.83,343.62
3/7/2020   ,38,60,3.02,346.63
3/8/2020   ,36,58,2.13,348.77
3/9/2020   ,47,66,7.01,355.78
3/10/2020  ,40,76,9.25,365.03
3/11/2020  ,41,73,8.70,373.72
3/12/2020  ,45,81,11.13,384.86
3/13/2020  ,44,68,7.31,392.17
3/14/2020  ,45,55,1.59,393.76
3/15/2020  ,44,55,1.51,395.26
3/16/2020  ,39,49,0.00,395.26
3/17/2020  ,41,55,1.32,396.58
3/18/2020  ,43,53,0.72,397.31
3/19/2020  ,36,61,3.26,400.56
3/20/2020  ,35,64,4.37,404.93
3/21/2020  ,39,66,5.62,410.55
3/22/2020  ,40,69,7.09,417.64
