"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: single sine/intermediate"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,1.19,1.19
1/2/2020   ,36,67,5.71,6.90
1/3/2020   ,33,59,2.34,9.23
1/4/2020   ,37,59,2.56,11.79
1/5/2020   ,38,63,4.23,16.02
1/6/2020   ,36,58,2.13,18.15
1/7/2020   ,30,53,0.47,18.62
1/8/2020   ,41,50,0.00,18.62
1/9/2020   ,37,53,0.56,19.18
1/10/2020  ,32,55,1.01,20.20
1/11/2020  ,42,61,3.81,24.01
1/12/2020  ,37,57,1.83,25.84
1/13/2020  ,39,58,2.31,28.15
1/14/2020  ,38,57,1.88,30.03
1/15/2020  ,31,51,0.10,30.12
1/16/2020  ,39,58,2.31,32.43
1/17/2020  ,34,47,0.00,32.43
1/18/2020  ,35,54,0.80,33.23
1/19/2020  ,36,48,0.00,33.23
1/20/2020  ,39,53,0.60,33.83
1/21/2020  ,38,58,2.25,36.08
1/22/2020  ,42,60,3.38,39.46
1/23/2020  ,42,57,2.14,41.60
1/24/2020  ,41,60,3.28,44.88
1/25/2020  ,46,62,4.87,49.75
1/26/2020  ,54,67,10.50,60.25
1/27/2020  ,50,64,7.00,67.25
1/28/2020  ,49,62,5.62,72.87
1/29/2020  ,46,69,8.22,81.09
1/30/2020  ,43,67,6.66,87.75
1/31/2020  ,39,67,6.06,93.81
2/1/2020   ,42,67,6.49,100.30
2/2/2020   ,43,59,3.07,103.37
2/3/2020   ,40,55,1.27,104.64
2/4/2020   ,38,57,1.88,106.52
2/5/2020   ,33,63,3.82,110.33
2/6/2020   ,33,67,5.41,115.74
2/7/2020   ,33,65,4.60,120.35
2/8/2020   ,34,64,4.29,124.63
2/9/2020   ,48,62,5.33,129.96
2/10/2020  ,52,73,11.52,141.48
2/11/2020  ,44,76,8.88,150.36
2/12/2020  ,35,68,6.02,156.38
2/13/2020  ,34,65,4.69,161.07
2/14/2020  ,38,66,5.50,166.57
2/15/2020  ,37,66,5.39,171.96
2/16/2020  ,49,67,8.10,180.06
2/17/2020  ,53,71,11.80,191.86
2/18/2020  ,44,67,6.84,198.70
2/19/2020  ,36,67,5.71,204.40
2/20/2020  ,39,67,6.06,210.46
2/21/2020  ,40,74,8.20,218.66
2/22/2020  ,43,76,8.69,227.35
2/23/2020  ,42,64,5.13,232.48
2/24/2020  ,38,75,7.92,240.40
2/25/2020  ,47,77,9.46,249.87
2/26/2020  ,40,75,8.21,258.08
2/27/2020  ,43,77,8.62,266.70
2/28/2020  ,43,74,8.71,275.41
2/29/2020  ,50,69,9.50,284.91
3/1/2020   ,46,62,4.87,289.78
3/2/2020   ,50,72,10.48,300.27
3/3/2020   ,46,81,8.66,308.93
3/4/2020   ,41,77,8.29,317.22
3/5/2020   ,40,74,8.20,325.41
3/6/2020   ,43,63,4.83,330.24
3/7/2020   ,38,60,3.02,333.26
3/8/2020   ,36,58,2.13,335.39
3/9/2020   ,47,66,7.01,342.40
3/10/2020  ,40,76,8.19,350.59
3/11/2020  ,41,73,8.30,358.90
3/12/2020  ,45,81,8.47,367.36
3/13/2020  ,44,68,7.31,374.67
3/14/2020  ,45,55,1.59,376.26
3/15/2020  ,44,55,1.51,377.77
3/16/2020  ,39,49,0.00,377.77
3/17/2020  ,41,55,1.32,379.09
3/18/2020  ,43,53,0.72,379.81
3/19/2020  ,36,61,3.26,383.07
3/20/2020  ,35,64,4.37,387.43
3/21/2020  ,39,66,5.62,393.06
3/22/2020  ,40,69,7.09,400.14
