"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: single triangle/horizontal"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.74,0.74
1/2/2020   ,36,67,4.66,5.40
1/3/2020   ,33,59,1.56,6.95
1/4/2020   ,37,59,1.84,8.80
1/5/2020   ,38,63,3.38,12.18
1/6/2020   ,36,58,1.45,13.63
1/7/2020   ,30,53,0.20,13.83
1/8/2020   ,41,50,0.00,13.83
1/9/2020   ,37,53,0.28,14.11
1/10/2020  ,32,55,0.54,14.65
1/11/2020  ,42,61,3.18,17.83
1/12/2020  ,37,57,1.23,19.06
1/13/2020  ,39,58,1.68,20.74
1/14/2020  ,38,57,1.29,22.03
1/15/2020  ,31,51,0.03,22.06
1/16/2020  ,39,58,1.68,23.74
1/17/2020  ,34,47,0.00,23.74
1/18/2020  ,35,54,0.42,24.16
1/19/2020  ,36,48,0.00,24.16
1/20/2020  ,39,53,0.32,24.48
1/21/2020  ,38,58,1.60,26.08
1/22/2020  ,42,60,2.78,28.86
1/23/2020  ,42,57,1.63,30.50
1/24/2020  ,41,60,2.63,33.13
1/25/2020  ,46,62,4.50,37.63
1/26/2020  ,54,67,10.50,48.13
1/27/2020  ,50,64,7.00,55.13
1/28/2020  ,49,62,5.54,60.67
1/29/2020  ,46,69,7.85,68.51
1/30/2020  ,43,67,6.02,74.53
1/31/2020  ,39,67,5.16,79.70
2/1/2020   ,42,67,5.78,85.48
2/2/2020   ,43,59,2.53,88.01
2/3/2020   ,40,55,0.83,88.84
2/4/2020   ,38,57,1.29,90.13
2/5/2020   ,33,63,2.82,92.95
2/6/2020   ,33,67,4.25,97.20
2/7/2020   ,33,65,3.52,100.71
2/8/2020   ,34,64,3.27,103.98
2/9/2020   ,48,62,5.14,109.12
2/10/2020  ,52,73,12.29,121.41
2/11/2020  ,44,76,10.00,131.41
2/12/2020  ,35,68,4.91,136.32
2/13/2020  ,34,65,3.63,139.94
2/14/2020  ,38,66,4.57,144.52
2/15/2020  ,37,66,4.41,148.93
2/16/2020  ,49,67,8.03,156.96
2/17/2020  ,53,71,11.97,168.93
2/18/2020  ,44,67,6.28,175.21
2/19/2020  ,36,67,4.66,179.87
2/20/2020  ,39,67,5.16,185.03
2/21/2020  ,40,74,8.24,193.27
2/22/2020  ,43,76,9.70,202.97
2/23/2020  ,42,64,4.45,207.42
2/24/2020  ,38,75,8.11,215.53
2/25/2020  ,47,77,11.33,226.86
2/26/2020  ,40,75,8.57,235.43
2/27/2020  ,43,77,10.00,245.43
2/28/2020  ,43,74,9.03,254.47
2/29/2020  ,50,69,9.50,263.97
3/1/2020   ,46,62,4.50,268.47
3/2/2020   ,50,72,10.91,279.38
3/3/2020   ,46,81,12.00,291.38
3/4/2020   ,41,77,9.44,300.82
3/5/2020   ,40,74,8.24,309.06
3/6/2020   ,43,63,4.23,313.28
3/7/2020   ,38,60,2.27,315.55
3/8/2020   ,36,58,1.45,317.01
3/9/2020   ,47,66,6.74,323.74
3/10/2020  ,40,76,8.89,332.63
3/11/2020  ,41,73,8.13,340.76
3/12/2020  ,45,81,11.67,352.43
3/13/2020  ,44,68,6.75,359.18
3/14/2020  ,45,55,1.25,360.43
3/15/2020  ,44,55,1.14,361.56
3/16/2020  ,39,49,0.00,361.56
3/17/2020  ,41,55,0.89,362.45
3/18/2020  ,43,53,0.45,362.90
3/19/2020  ,36,61,2.42,365.32
3/20/2020  ,35,64,3.38,368.70
3/21/2020  ,39,66,4.74,373.44
3/22/2020  ,40,69,6.22,379.67
3/23/2020  ,45,65,5.63,385.29
3/24/2020  ,40,58,1.78,387.07
3/25/2020  ,36,57,1.17,388.24
3/26/2020  ,34,61,2.24,390.48
3/27/2020  ,35,63,3.02,393.50
3/28/2020  ,46,58,2.67,396.16
3/29/2020  ,46,62,4.50,400.66
3/30/2020  ,45,67,6.57,407.23
3/31/2020  ,52,72,11.90,419.13
4/1/2020   ,46,66,6.40,425.53
4/2/2020   ,46,69,7.85,433.38
4/3/2020   ,40,67,5.35,438.73
4/4/2020   ,42,57,1.63,440.36
4/5/2020   ,45,56,1.64,442.00
4/6/2020   ,40,59,2.13,444.13
4/7/2020   ,42,66,5.33,449.47
4/8/2020   ,44,64,4.90,454.37
4/9/2020   ,49,64,6.53,460.90
4/10/2020  ,51,73,11.80,472.69
4/11/2020  ,47,72,9.60,482.29
4/12/2020  ,47,75,10.71,493.01
4/13/2020  ,48,77,11.72,504.73
4/14/2020  ,51,80,13.78,518.51
4/15/2020  ,43,81,11.05,529.56
4/16/2020  ,49,80,12.90,542.46
4/17/2020  ,50,73,11.30,553.77
4/18/2020  ,49,70,9.52,563.29
4/19/2020  ,42,72,8.00,571.29
4/20/2020  ,49,70,9.52,580.82
4/21/2020  ,45,78,10.91,591.73
4/22/2020  ,49,77,12.14,603.87
4/23/2020  ,59,84,17.58,621.45
4/24/2020  ,54,90,16.44,637.89
4/25/2020  ,63,89,19.06,656.95
4/26/2020  ,56,85,16.62,673.57
4/27/2020  ,53,85,15.48,689.06
4/28/2020  ,61,89,18.55,707.61
4/29/2020  ,57,84,16.87,724.48
4/30/2020  ,62,82,18.40,742.88
5/1/2020   ,53,83,15.18,758.06
5/2/2020   ,57,73,14.72,772.78
5/3/2020   ,49,77,12.14,784.92
5/4/2020   ,48,82,12.94,797.87
5/5/2020   ,48,83,13.14,811.01
5/6/2020   ,51,85,14.69,825.70
5/7/2020   ,53,83,15.18,840.88
5/8/2020   ,52,93,16.05,856.93
5/9/2020   ,51,91,15.49,872.42
5/10/2020  ,52,82,14.60,887.02
5/11/2020  ,49,71,10.00,897.02
5/12/2020  ,52,85,15.09,912.11
5/13/2020  ,54,86,16.00,928.11
5/14/2020  ,50,70,10.00,938.11
5/15/2020  ,56,79,15.74,953.85
5/16/2020  ,60,79,17.37,971.22
5/17/2020  ,55,85,16.25,987.47
5/18/2020  ,52,69,10.50,997.97
5/19/2020  ,51,73,11.80,1009.76
5/20/2020  ,47,76,11.03,1020.80
5/21/2020  ,53,83,15.18,1035.98
5/22/2020  ,52,78,13.77,1049.75
5/23/2020  ,58,87,17.52,1067.27
5/24/2020  ,53,92,16.29,1083.56
5/25/2020  ,57,96,17.83,1101.40
5/26/2020  ,63,101,19.36,1120.75
5/27/2020  ,66,100,19.76,1140.52
5/28/2020  ,58,101,18.33,1158.84
5/29/2020  ,57,89,17.36,1176.20
5/30/2020  ,62,76,17.71,1193.92
5/31/2020  ,58,79,16.57,1210.49
6/1/2020   ,60,86,18.08,1228.56
6/2/2020   ,60,95,18.57,1247.13
6/3/2020   ,63,100,19.34,1266.47
6/4/2020   ,60,98,18.68,1285.16
6/5/2020   ,58,82,17.00,1302.16
6/6/2020   ,58,78,16.40,1318.56
6/7/2020   ,57,88,17.27,1335.83
6/8/2020   ,58,83,17.12,1352.95
6/9/2020   ,55,90,16.79,1369.74
6/10/2020  ,63,96,19.26,1388.99
6/11/2020  ,59,93,18.22,1407.22
6/12/2020  ,58,76,16.00,1423.22
6/13/2020  ,55,77,14.89,1438.10
6/14/2020  ,59,84,17.58,1455.68
6/15/2020  ,65,85,19.38,1475.06
6/16/2020  ,60,81,17.62,1492.68
6/17/2020  ,64,87,19.22,1511.89
6/18/2020  ,59,94,18.27,1530.16
6/19/2020  ,58,96,18.11,1548.27
6/20/2020  ,56,91,17.20,1565.47
6/21/2020  ,59,93,18.22,1583.69
6/22/2020  ,59,99,18.49,1602.18
6/23/2020  ,64,98,19.47,1621.65
6/24/2020  ,62,99,19.14,1640.78
6/25/2020  ,60,95,18.57,1659.35
6/26/2020  ,59,95,18.32,1677.67
6/27/2020  ,60,95,18.57,1696.25
6/28/2020  ,59,87,17.84,1714.09
6/29/2020  ,65,88,19.46,1733.54
6/30/2020  ,60,91,18.39,1751.93
7/1/2020   ,55,92,16.96,1768.89
7/2/2020   ,55,88,16.59,1785.48
7/3/2020   ,62,96,19.06,1804.54
7/4/2020   ,53,93,16.39,1820.93
7/5/2020   ,58,95,18.05,1838.98
7/6/2020   ,56,90,17.12,1856.10
7/7/2020   ,53,89,15.99,1872.08
7/8/2020   ,65,94,19.57,1891.65
7/9/2020   ,61,98,18.91,1910.56
7/10/2020  ,60,98,18.68,1929.24
7/11/2020  ,59,103,18.63,1947.87
7/12/2020  ,59,101,18.56,1966.43
7/13/2020  ,61,92,18.69,1985.12
7/14/2020  ,58,92,17.88,2003.00
7/15/2020  ,58,96,18.11,2021.11
7/16/2020  ,62,94,19.00,2040.11
7/17/2020  ,61,93,18.73,2058.84
7/18/2020  ,60,96,18.61,2077.45
7/19/2020  ,61,97,18.88,2096.33
7/20/2020  ,60,96,18.61,2114.94
7/21/2020  ,59,93,18.22,2133.16
7/22/2020  ,60,96,18.61,2151.77
7/23/2020  ,56,94,17.42,2169.19
7/24/2020  ,58,94,18.00,2187.19
7/25/2020  ,55,95,17.19,2204.38
7/26/2020  ,60,100,18.75,2223.13
7/27/2020  ,61,101,18.99,2242.12
7/28/2020  ,59,100,18.52,2260.64
7/29/2020  ,60,96,18.61,2279.25
7/30/2020  ,60,96,18.61,2297.86
7/31/2020  ,52,97,16.40,2314.26
8/1/2020   ,53,94,16.48,2330.74
8/2/2020   ,58,98,18.20,2348.94
8/3/2020   ,60,99,18.72,2367.66
8/4/2020   ,58,95,18.05,2385.71
8/5/2020   ,59,95,18.32,2404.03
8/6/2020   ,56,90,17.12,2421.15
8/7/2020   ,61,96,18.84,2439.99
8/8/2020   ,62,95,19.03,2459.02
8/9/2020   ,62,98,19.11,2478.13
8/10/2020  ,64,99,19.49,2497.62
8/11/2020  ,61,93,18.73,2516.35
8/12/2020  ,57,97,17.89,2534.24
8/13/2020  ,60,97,18.65,2552.89
8/14/2020  ,71,103,20.00,2572.89
8/15/2020  ,68,107,19.95,2592.84
8/16/2020  ,60,96,18.61,2611.45
8/17/2020  ,59,95,18.32,2629.77
8/18/2020  ,71,102,20.00,2649.77
8/19/2020  ,71,97,20.00,2669.77
8/20/2020  ,62,85,18.61,2688.38
8/21/2020  ,59,91,18.11,2706.49
8/22/2020  ,67,97,19.85,2726.34
8/23/2020  ,61,97,18.88,2745.21
8/24/2020  ,67,96,19.84,2765.06
8/25/2020  ,58,94,18.00,2783.06
8/26/2020  ,58,95,18.05,2801.11
8/27/2020  ,54,92,16.63,2817.74
8/28/2020  ,59,94,18.27,2836.01
8/29/2020  ,61,94,18.77,2854.79
8/30/2020  ,60,91,18.39,2873.17
8/31/2020  ,60,96,18.61,2891.78
9/1/2020   ,60,93,18.48,2910.27
9/2/2020   ,60,87,18.15,2928.42
9/3/2020   ,57,95,17.78,2946.19
9/4/2020   ,57,98,17.94,2964.13
9/5/2020   ,60,95,18.57,2982.70
9/6/2020   ,67,105,19.88,3002.59
9/7/2020   ,58,93,17.94,3020.53
9/8/2020   ,58,93,17.94,3038.47
9/9/2020   ,59,86,17.76,3056.23
9/10/2020  ,55,80,15.50,3071.73
9/11/2020  ,53,86,15.62,3087.35
9/12/2020  ,58,92,17.88,3105.23
9/13/2020  ,55,88,16.59,3121.82
9/14/2020  ,58,90,17.75,3139.57
9/15/2020  ,57,90,17.44,3157.01
9/16/2020  ,52,90,15.74,3172.75
9/17/2020  ,52,91,15.85,3188.60
9/18/2020  ,60,83,17.83,3206.42
9/19/2020  ,58,86,17.43,3223.85
9/20/2020  ,55,90,16.79,3240.64
9/21/2020  ,54,90,16.44,3257.08
9/22/2020  ,60,90,18.33,3275.42
9/23/2020  ,55,90,16.79,3292.20
9/24/2020  ,63,89,19.06,3311.26
9/25/2020  ,53,85,15.48,3326.74
9/26/2020  ,58,90,17.75,3344.49
9/27/2020  ,72,95,20.00,3364.49
9/28/2020  ,69,97,19.98,3384.48
9/29/2020  ,55,94,17.12,3401.59
9/30/2020  ,56,100,17.77,3419.36
10/1/2020  ,62,93,18.97,3438.33
10/2/2020  ,57,90,17.44,3455.77
10/3/2020  ,55,86,16.37,3472.14
10/4/2020  ,54,83,15.59,3487.73
10/5/2020  ,51,92,15.60,3503.32
10/6/2020  ,51,93,15.70,3519.03
10/7/2020  ,51,88,15.12,3534.15
10/8/2020  ,52,78,13.77,3547.92
10/9/2020  ,53,84,15.34,3563.26
10/10/2020 ,55,76,14.64,3577.90
10/11/2020 ,55,83,15.98,3593.88
10/12/2020 ,51,87,14.99,3608.87
10/13/2020 ,49,90,14.63,3623.50
10/14/2020 ,57,93,17.65,3641.15
10/15/2020 ,67,91,19.81,3660.97
10/16/2020 ,58,93,17.94,3678.91
10/17/2020 ,53,93,16.39,3695.30
10/18/2020 ,51,91,15.49,3710.79
10/19/2020 ,52,89,15.62,3726.41
10/20/2020 ,52,90,15.74,3742.14
10/21/2020 ,53,89,15.99,3758.13
10/22/2020 ,49,79,12.67,3770.80
10/23/2020 ,41,80,10.26,3781.05
10/24/2020 ,44,76,10.00,3791.05
10/25/2020 ,48,70,9.09,3800.14
10/26/2020 ,54,73,13.26,3813.41
10/27/2020 ,43,78,10.29,3823.69
10/28/2020 ,36,76,8.00,3831.69
10/29/2020 ,38,80,9.52,3841.22
10/30/2020 ,40,79,9.74,3850.96
10/31/2020 ,41,80,10.26,3861.22
11/1/2020  ,40,79,9.74,3870.96
11/2/2020  ,45,83,12.11,3883.07
11/3/2020  ,41,78,9.73,3892.80
11/4/2020  ,43,79,10.56,3903.35
11/5/2020  ,44,81,11.35,3914.70
11/6/2020  ,48,71,9.57,3924.27
