"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: single triangle/intermediate"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.74,0.74
1/2/2020   ,36,67,4.66,5.40
1/3/2020   ,33,59,1.56,6.95
1/4/2020   ,37,59,1.84,8.80
1/5/2020   ,38,63,3.38,12.18
1/6/2020   ,36,58,1.45,13.63
1/7/2020   ,30,53,0.20,13.83
1/8/2020   ,41,50,0.00,13.83
1/9/2020   ,37,53,0.28,14.11
1/10/2020  ,32,55,0.54,14.65
1/11/2020  ,42,61,3.18,17.83
1/12/2020  ,37,57,1.23,19.06
1/13/2020  ,39,58,1.68,20.74
1/14/2020  ,38,57,1.29,22.03
1/15/2020  ,31,51,0.03,22.06
1/16/2020  ,39,58,1.68,23.74
1/17/2020  ,34,47,0.00,23.74
1/18/2020  ,35,54,0.42,24.16
1/19/2020  ,36,48,0.00,24.16
1/20/2020  ,39,53,0.32,24.48
1/21/2020  ,38,58,1.60,26.08
1/22/2020  ,42,60,2.78,28.86
1/23/2020  ,42,57,1.63,30.50
1/24/2020  ,41,60,2.63,33.13
1/25/2020  ,46,62,4.50,37.63
1/26/2020  ,54,67,10.50,48.13
1/27/2020  ,50,64,7.00,55.13
1/28/2020  ,49,62,5.54,60.67
1/29/2020  ,46,69,7.85,68.51
1/30/2020  ,43,67,6.02,74.53
1/31/2020  ,39,67,5.16,79.70
2/1/2020   ,42,67,5.78,85.48
2/2/2020   ,43,59,2.53,88.01
2/3/2020   ,40,55,0.83,88.84
2/4/2020   ,38,57,1.29,90.13
2/5/2020   ,33,63,2.82,92.95
2/6/2020   ,33,67,4.25,97.20
2/7/2020   ,33,65,3.52,100.71
2/8/2020   ,34,64,3.27,103.98
2/9/2020   ,48,62,5.14,109.12
2/10/2020  ,52,73,12.07,121.19
2/11/2020  ,44,76,9.44,130.63
2/12/2020  ,35,68,4.91,135.54
2/13/2020  ,34,65,3.63,139.17
2/14/2020  ,38,66,4.57,143.74
2/15/2020  ,37,66,4.41,148.15
2/16/2020  ,49,67,8.03,156.18
2/17/2020  ,53,71,11.94,168.13
2/18/2020  ,44,67,6.28,174.41
2/19/2020  ,36,67,4.66,179.07
2/20/2020  ,39,67,5.16,184.23
2/21/2020  ,40,74,8.00,192.23
2/22/2020  ,43,76,9.15,201.38
2/23/2020  ,42,64,4.45,205.84
2/24/2020  ,38,75,7.77,213.61
2/25/2020  ,47,77,10.52,224.12
2/26/2020  ,40,75,8.21,232.34
2/27/2020  ,43,77,9.28,241.62
2/28/2020  ,43,74,8.77,250.39
2/29/2020  ,50,69,9.50,259.89
3/1/2020   ,46,62,4.50,264.39
3/2/2020   ,50,72,10.82,275.21
3/3/2020   ,46,81,10.27,285.48
3/4/2020   ,41,77,8.76,294.24
3/5/2020   ,40,74,8.00,302.24
3/6/2020   ,43,63,4.23,306.47
3/7/2020   ,38,60,2.27,308.74
3/8/2020   ,36,58,1.45,310.20
3/9/2020   ,47,66,6.74,316.93
3/10/2020  ,40,76,8.39,325.32
3/11/2020  ,41,73,7.98,333.31
3/12/2020  ,45,81,9.99,343.29
3/13/2020  ,44,68,6.75,350.04
3/14/2020  ,45,55,1.25,351.29
3/15/2020  ,44,55,1.14,352.43
3/16/2020  ,39,49,0.00,352.43
3/17/2020  ,41,55,0.89,353.32
3/18/2020  ,43,53,0.45,353.77
3/19/2020  ,36,61,2.42,356.19
3/20/2020  ,35,64,3.38,359.57
3/21/2020  ,39,66,4.74,364.31
3/22/2020  ,40,69,6.22,370.54
3/23/2020  ,45,65,5.63,376.16
3/24/2020  ,40,58,1.78,377.94
3/25/2020  ,36,57,1.17,379.11
3/26/2020  ,34,61,2.24,381.35
3/27/2020  ,35,63,3.02,384.36
3/28/2020  ,46,58,2.67,387.03
3/29/2020  ,46,62,4.50,391.53
3/30/2020  ,45,67,6.57,398.10
3/31/2020  ,52,72,11.80,409.90
4/1/2020   ,46,66,6.40,416.30
4/2/2020   ,46,69,7.85,424.15
4/3/2020   ,40,67,5.35,429.50
4/4/2020   ,42,57,1.63,431.13
4/5/2020   ,45,56,1.64,432.77
4/6/2020   ,40,59,2.13,434.90
4/7/2020   ,42,66,5.33,440.23
4/8/2020   ,44,64,4.90,445.13
4/9/2020   ,49,64,6.53,451.67
4/10/2020  ,51,73,11.59,463.26
4/11/2020  ,47,72,9.52,472.78
4/12/2020  ,47,75,10.27,483.05
4/13/2020  ,48,77,10.88,493.93
4/14/2020  ,51,80,12.05,505.98
4/15/2020  ,43,81,9.46,515.44
4/16/2020  ,49,80,11.29,526.73
4/17/2020  ,50,73,11.11,537.84
4/18/2020  ,49,70,9.52,547.36
4/19/2020  ,42,72,7.93,555.29
4/20/2020  ,49,70,9.52,564.82
4/21/2020  ,45,78,9.94,574.76
4/22/2020  ,49,77,11.27,586.02
4/23/2020  ,59,84,13.66,599.68
4/24/2020  ,54,90,10.89,610.57
4/25/2020  ,63,89,12.12,622.69
4/26/2020  ,56,85,12.74,635.43
4/27/2020  ,53,85,11.97,647.40
4/28/2020  ,61,89,12.11,659.51
4/29/2020  ,57,84,13.24,672.75
4/30/2020  ,62,82,14.80,687.55
5/1/2020   ,53,83,12.37,699.91
5/2/2020   ,57,73,14.44,714.35
5/3/2020   ,49,77,11.27,725.62
5/4/2020   ,48,82,10.82,736.44
5/5/2020   ,48,83,10.73,747.17
5/6/2020   ,51,85,11.38,758.55
5/7/2020   ,53,83,12.37,770.92
5/8/2020   ,52,93,9.60,780.52
5/9/2020   ,51,91,9.98,790.49
5/10/2020  ,52,82,12.20,802.69
5/11/2020  ,49,71,9.98,812.67
5/12/2020  ,52,85,11.68,824.35
5/13/2020  ,54,86,12.00,836.35
5/14/2020  ,50,70,10.00,846.35
5/15/2020  ,56,79,13.98,860.33
5/16/2020  ,60,79,15.24,875.57
5/17/2020  ,55,85,12.50,888.07
5/18/2020  ,52,69,10.50,898.57
5/19/2020  ,51,73,11.59,910.16
5/20/2020  ,47,76,10.41,920.57
5/21/2020  ,53,83,12.37,932.94
5/22/2020  ,52,78,12.54,945.48
5/23/2020  ,58,87,12.53,958.01
5/24/2020  ,53,92,10.09,968.10
5/25/2020  ,57,96,9.17,977.27
5/26/2020  ,63,101,6.71,983.98
5/27/2020  ,66,100,6.53,990.51
5/28/2020  ,58,101,7.15,997.66
5/29/2020  ,57,89,11.72,1009.38
5/30/2020  ,62,76,16.43,1025.81
5/31/2020  ,58,79,14.64,1040.45
6/1/2020   ,60,86,13.15,1053.60
6/2/2020   ,60,95,9.64,1063.25
6/3/2020   ,63,100,7.18,1070.42
6/4/2020   ,60,98,8.37,1078.79
6/5/2020   ,58,82,14.00,1092.79
6/6/2020   ,58,78,14.80,1107.59
6/7/2020   ,57,88,12.05,1119.64
6/8/2020   ,58,83,13.74,1133.38
6/9/2020   ,55,90,11.07,1144.45
6/10/2020  ,63,96,9.02,1153.46
6/11/2020  ,59,93,10.44,1163.91
6/12/2020  ,58,76,15.00,1178.91
6/13/2020  ,55,77,13.77,1192.68
6/14/2020  ,59,84,13.66,1206.34
6/15/2020  ,65,85,13.75,1220.09
6/16/2020  ,60,81,14.74,1234.83
6/17/2020  ,64,87,12.93,1247.76
6/18/2020  ,59,94,10.04,1257.80
6/19/2020  ,58,96,9.21,1267.01
6/20/2020  ,56,91,10.90,1277.91
6/21/2020  ,59,93,10.44,1288.36
6/22/2020  ,59,99,7.98,1296.33
6/23/2020  ,64,98,7.94,1304.27
6/24/2020  ,62,99,7.77,1312.04
6/25/2020  ,60,95,9.64,1321.69
6/26/2020  ,59,95,9.64,1331.32
6/27/2020  ,60,95,9.64,1340.97
6/28/2020  ,59,87,12.68,1353.65
6/29/2020  ,65,88,12.41,1366.06
6/30/2020  ,60,91,11.27,1377.33
7/1/2020   ,55,92,10.42,1387.75
7/2/2020   ,55,88,11.68,1399.43
7/3/2020   ,62,96,9.12,1408.55
7/4/2020   ,53,93,9.78,1418.33
7/5/2020   ,58,95,9.61,1427.93
7/6/2020   ,56,90,11.24,1439.17
7/7/2020   ,53,89,10.97,1450.14
7/8/2020   ,65,94,9.64,1459.78
7/9/2020   ,61,98,8.31,1468.09
7/10/2020  ,60,98,8.37,1476.46
7/11/2020  ,59,103,6.25,1482.71
7/12/2020  ,59,101,7.12,1489.83
7/13/2020  ,61,92,10.89,1500.72
7/14/2020  ,58,92,10.76,1511.48
7/15/2020  ,58,96,9.21,1520.69
7/16/2020  ,62,94,10.00,1530.69
7/17/2020  ,61,93,10.47,1541.16
7/18/2020  ,60,96,9.22,1550.38
7/19/2020  ,61,97,8.75,1559.13
7/20/2020  ,60,96,9.22,1568.35
7/21/2020  ,59,93,10.44,1578.79
7/22/2020  ,60,96,9.22,1588.02
7/23/2020  ,56,94,9.84,1597.86
7/24/2020  ,58,94,10.00,1607.86
7/25/2020  ,55,95,9.38,1617.23
7/26/2020  ,60,100,7.50,1624.73
7/27/2020  ,61,101,6.98,1631.71
7/28/2020  ,59,100,7.55,1639.26
7/29/2020  ,60,96,9.22,1648.48
7/30/2020  ,60,96,9.22,1657.70
7/31/2020  ,52,97,8.30,1666.00
8/1/2020   ,53,94,9.45,1675.45
8/2/2020   ,58,98,8.40,1683.85
8/3/2020   ,60,99,7.94,1691.79
8/4/2020   ,58,95,9.61,1701.40
8/5/2020   ,59,95,9.64,1711.04
8/6/2020   ,56,90,11.24,1722.27
8/7/2020   ,61,96,9.19,1731.46
8/8/2020   ,62,95,9.56,1741.02
8/9/2020   ,62,98,8.22,1749.24
8/10/2020  ,64,99,7.47,1756.71
8/11/2020  ,61,93,10.47,1767.18
8/12/2020  ,57,97,8.78,1775.96
8/13/2020  ,60,97,8.80,1784.75
8/14/2020  ,71,103,3.00,1787.75
8/15/2020  ,68,107,2.40,1790.15
8/16/2020  ,60,96,9.22,1799.37
8/17/2020  ,59,95,9.64,1809.01
8/18/2020  ,71,102,3.50,1812.51
8/19/2020  ,71,97,6.00,1818.51
8/20/2020  ,62,85,13.72,1832.23
8/21/2020  ,59,91,11.22,1843.45
8/22/2020  ,67,97,7.70,1851.15
8/23/2020  ,61,97,8.75,1859.90
8/24/2020  ,67,96,8.19,1868.09
8/25/2020  ,58,94,10.00,1878.09
8/26/2020  ,58,95,9.61,1887.70
8/27/2020  ,54,92,10.26,1897.96
8/28/2020  ,59,94,10.04,1908.00
8/29/2020  ,61,94,10.05,1918.05
8/30/2020  ,60,91,11.27,1929.32
8/31/2020  ,60,96,9.22,1938.54
9/1/2020   ,60,93,10.47,1949.01
9/2/2020   ,60,87,12.80,1961.81
9/3/2020   ,57,95,9.55,1971.36
9/4/2020   ,57,98,8.38,1979.74
9/5/2020   ,60,95,9.64,1989.38
9/6/2020   ,67,105,3.76,1993.15
9/7/2020   ,58,93,10.39,2003.53
9/8/2020   ,58,93,10.39,2013.92
9/9/2020   ,59,86,13.02,2026.94
9/10/2020  ,55,80,13.50,2040.44
9/11/2020  ,53,86,11.74,2052.18
9/12/2020  ,58,92,10.76,2062.94
9/13/2020  ,55,88,11.68,2074.62
9/14/2020  ,58,90,11.50,2086.12
9/15/2020  ,57,90,11.38,2097.50
9/16/2020  ,52,90,10.47,2107.98
9/17/2020  ,52,91,10.19,2118.17
9/18/2020  ,60,83,14.15,2132.32
9/19/2020  ,58,86,12.86,2145.18
9/20/2020  ,55,90,11.07,2156.25
9/21/2020  ,54,90,10.89,2167.14
9/22/2020  ,60,90,11.67,2178.81
9/23/2020  ,55,90,11.07,2189.88
9/24/2020  ,63,89,12.12,2201.99
9/25/2020  ,53,85,11.97,2213.96
9/26/2020  ,58,90,11.50,2225.46
9/27/2020  ,72,95,6.50,2231.96
9/28/2020  ,69,97,6.96,2238.93
9/29/2020  ,55,94,9.73,2248.66
9/30/2020  ,56,100,7.55,2256.20
10/1/2020  ,62,93,10.44,2266.64
10/2/2020  ,57,90,11.38,2278.02
10/3/2020  ,55,86,12.24,2290.26
10/4/2020  ,54,83,12.67,2302.93
10/5/2020  ,51,92,9.70,2312.63
10/6/2020  ,51,93,9.40,2322.03
10/7/2020  ,51,88,10.74,2332.77
10/8/2020  ,52,78,12.54,2345.31
10/9/2020  ,53,84,12.18,2357.49
10/10/2020 ,55,76,13.79,2371.28
10/11/2020 ,55,83,12.96,2384.24
10/12/2020 ,51,87,10.97,2395.21
10/13/2020 ,49,90,9.76,2404.97
10/14/2020 ,57,93,10.31,2415.27
10/15/2020 ,67,91,10.63,2425.90
10/16/2020 ,58,93,10.39,2436.28
10/17/2020 ,53,93,9.78,2446.06
10/18/2020 ,51,91,9.98,2456.03
10/19/2020 ,52,89,10.74,2466.78
10/20/2020 ,52,90,10.47,2477.25
10/21/2020 ,53,89,10.97,2488.22
10/22/2020 ,49,79,11.32,2499.54
10/23/2020 ,41,80,8.97,2508.51
10/24/2020 ,44,76,9.44,2517.95
10/25/2020 ,48,70,9.09,2527.04
10/26/2020 ,54,73,13.03,2540.07
10/27/2020 ,43,78,9.37,2549.44
10/28/2020 ,36,76,7.55,2556.99
10/29/2020 ,38,80,8.33,2565.32
10/30/2020 ,40,79,8.71,2574.03
10/31/2020 ,41,80,8.97,2583.00
11/1/2020  ,40,79,8.71,2591.71
11/2/2020  ,45,83,9.88,2601.59
11/3/2020  ,41,78,8.86,2610.45
11/4/2020  ,43,79,9.43,2619.89
11/5/2020  ,44,81,9.72,2629.60
11/6/2020  ,48,71,9.54,2639.14
11/7/2020  ,46,71,8.78,2647.92
