"University of California Statewide Integrated Pest Management Program"
" "
"How to Manage Pests"
"Degree-Days: Custom Calculation"
" "
"Store results in comma delimited data file format"
" "
"=----------------------------------------------------------------------------------"
" "
"   Lower/upper threshold: 50/70°F"
"   Calculation/upper cutoff method: single triangle/vertical"
" "
"   Temperature data file: "
"   Time period: 1/1/2020 to 12/31/2020, retrieved on August 2, 2022 (366 days)"
" "
"       To save this text, you can:"
"       Select SAVE AS and TEXT from the top menu of your browser, or"
"       copy and paste the data to a new document in a word processor"
"       and save it as text."
" "
" "
"=----------------------------------------------------------------------------------"
" "
"Variable   Description                   Units"
"   1       Date"
"   2       Temperature, minimum          °F"
"   3       Temperature, maximum          °F"
"   4       Daily degree-days"
"   5       Accumulated degree-days"
" "
"Date","Temp min","Temp max","Daily DD","Accumulated DD"
1/1/2020   ,38,55,0.74,0.74
1/2/2020   ,36,67,4.66,5.40
1/3/2020   ,33,59,1.56,6.95
1/4/2020   ,37,59,1.84,8.80
1/5/2020   ,38,63,3.38,12.18
1/6/2020   ,36,58,1.45,13.63
1/7/2020   ,30,53,0.20,13.83
1/8/2020   ,41,50,0.00,13.83
1/9/2020   ,37,53,0.28,14.11
1/10/2020  ,32,55,0.54,14.65
1/11/2020  ,42,61,3.18,17.83
1/12/2020  ,37,57,1.23,19.06
1/13/2020  ,39,58,1.68,20.74
1/14/2020  ,38,57,1.29,22.03
1/15/2020  ,31,51,0.03,22.06
1/16/2020  ,39,58,1.68,23.74
1/17/2020  ,34,47,0.00,23.74
1/18/2020  ,35,54,0.42,24.16
1/19/2020  ,36,48,0.00,24.16
1/20/2020  ,39,53,0.32,24.48
1/21/2020  ,38,58,1.60,26.08
1/22/2020  ,42,60,2.78,28.86
1/23/2020  ,42,57,1.63,30.50
1/24/2020  ,41,60,2.63,33.13
1/25/2020  ,46,62,4.50,37.63
1/26/2020  ,54,67,10.50,48.13
1/27/2020  ,50,64,7.00,55.13
1/28/2020  ,49,62,5.54,60.67
1/29/2020  ,46,69,7.85,68.51
1/30/2020  ,43,67,6.02,74.53
1/31/2020  ,39,67,5.16,79.70
2/1/2020   ,42,67,5.78,85.48
2/2/2020   ,43,59,2.53,88.01
2/3/2020   ,40,55,0.83,88.84
2/4/2020   ,38,57,1.29,90.13
2/5/2020   ,33,63,2.82,92.95
2/6/2020   ,33,67,4.25,97.20
2/7/2020   ,33,65,3.52,100.71
2/8/2020   ,34,64,3.27,103.98
2/9/2020   ,48,62,5.14,109.12
2/10/2020  ,52,73,9.43,118.55
2/11/2020  ,44,76,6.25,124.80
2/12/2020  ,35,68,4.91,129.71
2/13/2020  ,34,65,3.63,133.34
2/14/2020  ,38,66,4.57,137.91
2/15/2020  ,37,66,4.41,142.32
2/16/2020  ,49,67,8.03,150.35
2/17/2020  ,53,71,10.86,161.21
2/18/2020  ,44,67,6.28,167.49
2/19/2020  ,36,67,4.66,172.16
2/20/2020  ,39,67,5.16,177.32
2/21/2020  ,40,74,5.88,183.20
2/22/2020  ,43,76,6.06,189.26
2/23/2020  ,42,64,4.45,193.71
2/24/2020  ,38,75,5.41,199.12
2/25/2020  ,47,77,6.67,205.79
2/26/2020  ,40,75,5.71,211.50
2/27/2020  ,43,77,5.88,217.38
2/28/2020  ,43,74,6.45,223.83
2/29/2020  ,50,69,9.50,233.33
3/1/2020   ,46,62,4.50,237.83
3/2/2020   ,50,72,9.09,246.93
3/3/2020   ,46,81,5.71,252.64
3/4/2020   ,41,77,5.56,258.20
3/5/2020   ,40,74,5.88,264.08
3/6/2020   ,43,63,4.23,268.30
3/7/2020   ,38,60,2.27,270.58
3/8/2020   ,36,58,1.45,272.03
3/9/2020   ,47,66,6.74,278.77
3/10/2020  ,40,76,5.56,284.32
3/11/2020  ,41,73,6.25,290.57
3/12/2020  ,45,81,5.56,296.13
3/13/2020  ,44,68,6.75,302.88
3/14/2020  ,45,55,1.25,304.13
3/15/2020  ,44,55,1.14,305.26
3/16/2020  ,39,49,0.00,305.26
3/17/2020  ,41,55,0.89,306.16
3/18/2020  ,43,53,0.45,306.61
3/19/2020  ,36,61,2.42,309.03
3/20/2020  ,35,64,3.38,312.41
3/21/2020  ,39,66,4.74,317.15
3/22/2020  ,40,69,6.22,323.37
3/23/2020  ,45,65,5.63,329.00
3/24/2020  ,40,58,1.78,330.77
3/25/2020  ,36,57,1.17,331.94
3/26/2020  ,34,61,2.24,334.18
3/27/2020  ,35,63,3.02,337.20
3/28/2020  ,46,58,2.67,339.87
3/29/2020  ,46,62,4.50,344.37
3/30/2020  ,45,67,6.57,350.93
3/31/2020  ,52,72,9.90,360.83
4/1/2020   ,46,66,6.40,367.23
4/2/2020   ,46,69,7.85,375.08
4/3/2020   ,40,67,5.35,380.43
4/4/2020   ,42,57,1.63,382.07
4/5/2020   ,45,56,1.64,383.70
4/6/2020   ,40,59,2.13,385.83
4/7/2020   ,42,66,5.33,391.17
4/8/2020   ,44,64,4.90,396.07
4/9/2020   ,49,64,6.53,402.60
4/10/2020  ,51,73,9.07,411.67
4/11/2020  ,47,72,8.00,419.67
4/12/2020  ,47,75,7.14,426.81
4/13/2020  ,48,77,6.90,433.71
4/14/2020  ,51,80,6.88,440.59
4/15/2020  ,43,81,5.26,445.85
4/16/2020  ,49,80,6.45,452.30
4/17/2020  ,50,73,8.70,461.00
4/18/2020  ,49,70,9.52,470.52
4/19/2020  ,42,72,6.67,477.19
4/20/2020  ,49,70,9.52,486.71
4/21/2020  ,45,78,6.06,492.77
4/22/2020  ,49,77,7.14,499.92
4/23/2020  ,59,84,6.38,506.30
4/24/2020  ,54,90,5.33,511.63
4/25/2020  ,63,89,4.44,516.07
4/26/2020  ,56,85,6.28,522.35
4/27/2020  ,53,85,6.11,528.46
4/28/2020  ,61,89,4.98,533.44
4/29/2020  ,57,84,6.50,539.94
4/30/2020  ,62,82,6.40,546.34
5/1/2020   ,53,83,6.52,552.86
5/2/2020   ,57,73,10.97,563.83
5/3/2020   ,49,77,7.14,570.97
5/4/2020   ,48,82,5.88,576.85
5/5/2020   ,48,83,5.71,582.56
5/6/2020   ,51,85,5.87,588.43
5/7/2020   ,53,83,6.52,594.95
5/8/2020   ,52,93,4.83,599.78
5/9/2020   ,51,91,4.99,604.77
5/10/2020  ,52,82,6.60,611.37
5/11/2020  ,49,71,9.09,620.46
5/12/2020  ,52,85,6.00,626.46
5/13/2020  ,54,86,6.00,632.46
5/14/2020  ,50,70,10.00,642.46
5/15/2020  ,56,79,7.91,650.37
5/16/2020  ,60,79,7.89,658.26
5/17/2020  ,55,85,6.25,664.51
5/18/2020  ,52,69,10.50,675.01
5/19/2020  ,51,73,9.07,684.08
5/20/2020  ,47,76,6.90,690.98
5/21/2020  ,53,83,6.52,697.50
5/22/2020  ,52,78,7.62,705.11
5/23/2020  ,58,87,5.79,710.90
5/24/2020  ,53,92,5.01,715.92
5/25/2020  ,57,96,4.50,720.42
5/26/2020  ,63,101,3.04,723.46
5/27/2020  ,66,100,2.12,725.57
5/28/2020  ,58,101,3.91,729.48
5/29/2020  ,57,89,5.48,734.97
5/30/2020  ,62,76,9.14,744.11
5/31/2020  ,58,79,8.00,752.11
6/1/2020   ,60,86,5.77,757.88
6/2/2020   ,60,95,4.29,762.16
6/3/2020   ,63,100,3.12,765.29
6/4/2020   ,60,98,3.95,769.23
6/5/2020   ,58,82,7.00,776.23
6/6/2020   ,58,78,8.40,784.63
6/7/2020   ,57,88,5.66,790.29
6/8/2020   ,58,83,6.72,797.01
6/9/2020   ,55,90,5.36,802.37
6/10/2020  ,63,96,3.50,805.87
6/11/2020  ,59,93,4.69,810.56
6/12/2020  ,58,76,9.33,819.90
6/13/2020  ,55,77,8.52,828.42
6/14/2020  ,59,84,6.38,834.80
6/15/2020  ,65,85,4.38,839.17
6/16/2020  ,60,81,7.14,846.32
6/17/2020  ,64,87,4.43,850.75
6/18/2020  ,59,94,4.56,855.31
6/19/2020  ,58,96,4.42,859.73
6/20/2020  ,56,91,5.20,864.93
6/21/2020  ,59,93,4.69,869.62
6/22/2020  ,59,99,3.99,873.61
6/23/2020  ,64,98,3.00,876.61
6/24/2020  ,62,99,3.46,880.07
6/25/2020  ,60,95,4.29,884.35
6/26/2020  ,59,95,4.43,888.78
6/27/2020  ,60,95,4.29,893.07
6/28/2020  ,59,87,5.70,898.77
6/29/2020  ,65,88,3.80,902.57
6/30/2020  ,60,91,4.84,907.41
7/1/2020   ,55,92,5.07,912.48
7/2/2020   ,55,88,5.68,918.16
7/3/2020   ,62,96,3.76,921.92
7/4/2020   ,53,93,4.89,926.81
7/5/2020   ,58,95,4.54,931.35
7/6/2020   ,56,90,5.35,936.70
7/7/2020   ,53,89,5.43,942.13
7/8/2020   ,65,94,3.02,945.15
7/9/2020   ,61,98,3.77,948.92
7/10/2020  ,60,98,3.95,952.87
7/11/2020  ,59,103,3.63,956.49
7/12/2020  ,59,101,3.80,960.29
7/13/2020  ,61,92,4.50,964.79
7/14/2020  ,58,92,4.94,969.73
7/15/2020  ,58,96,4.42,974.15
7/16/2020  ,62,94,4.00,978.15
7/17/2020  ,61,93,4.36,982.51
7/18/2020  ,60,96,4.17,986.68
7/19/2020  ,61,97,3.88,990.55
7/20/2020  ,60,96,4.17,994.72
7/21/2020  ,59,93,4.69,999.41
7/22/2020  ,60,96,4.17,1003.58
7/23/2020  ,56,94,4.79,1008.37
7/24/2020  ,58,94,4.67,1013.04
7/25/2020  ,55,95,4.69,1017.72
7/26/2020  ,60,100,3.75,1021.47
7/27/2020  ,61,101,3.49,1024.96
7/28/2020  ,59,100,3.89,1028.85
7/29/2020  ,60,96,4.17,1033.02
7/30/2020  ,60,96,4.17,1037.18
7/31/2020  ,52,97,4.40,1041.58
8/1/2020   ,53,94,4.77,1046.35
8/2/2020   ,58,98,4.20,1050.55
8/3/2020   ,60,99,3.85,1054.40
8/4/2020   ,58,95,4.54,1058.94
8/5/2020   ,59,95,4.43,1063.37
8/6/2020   ,56,90,5.35,1068.72
8/7/2020   ,61,96,3.99,1072.71
8/8/2020   ,62,95,3.88,1076.59
8/9/2020   ,62,98,3.56,1080.14
8/10/2020  ,64,99,2.91,1083.06
8/11/2020  ,61,93,4.36,1087.42
8/12/2020  ,57,97,4.39,1091.80
8/13/2020  ,60,97,4.05,1095.86
8/14/2020  ,71,103,0.00,1095.86
8/15/2020  ,68,107,0.97,1096.83
8/16/2020  ,60,96,4.17,1101.00
8/17/2020  ,59,95,4.43,1105.43
8/18/2020  ,71,102,0.00,1105.43
8/19/2020  ,71,97,0.00,1105.43
8/20/2020  ,62,85,5.57,1110.99
8/21/2020  ,59,91,4.98,1115.98
8/22/2020  ,67,97,1.85,1117.83
8/23/2020  ,61,97,3.88,1121.70
8/24/2020  ,67,96,1.91,1123.62
8/25/2020  ,58,94,4.67,1128.28
8/26/2020  ,58,95,4.54,1132.83
8/27/2020  ,54,92,5.05,1137.88
8/28/2020  ,59,94,4.56,1142.43
8/29/2020  ,61,94,4.23,1146.66
8/30/2020  ,60,91,4.84,1151.50
8/31/2020  ,60,96,4.17,1155.67
9/1/2020   ,60,93,4.55,1160.21
9/2/2020   ,60,87,5.56,1165.77
9/3/2020   ,57,95,4.62,1170.39
9/4/2020   ,57,98,4.28,1174.67
9/5/2020   ,60,95,4.29,1178.95
9/6/2020   ,67,105,1.46,1180.41
9/7/2020   ,58,93,4.80,1185.21
9/8/2020   ,58,93,4.80,1190.01
9/9/2020   ,59,86,5.91,1195.92
9/10/2020  ,55,80,7.50,1203.42
9/11/2020  ,53,86,5.92,1209.35
9/12/2020  ,58,92,4.94,1214.29
9/13/2020  ,55,88,5.68,1219.97
9/14/2020  ,58,90,5.25,1225.22
9/15/2020  ,57,90,5.32,1230.54
9/16/2020  ,52,90,5.21,1235.75
9/17/2020  ,52,91,5.08,1240.82
9/18/2020  ,60,83,6.52,1247.35
9/19/2020  ,58,86,6.00,1253.35
9/20/2020  ,55,90,5.36,1258.70
9/21/2020  ,54,90,5.33,1264.04
9/22/2020  ,60,90,5.00,1269.04
9/23/2020  ,55,90,5.36,1274.39
9/24/2020  ,63,89,4.44,1278.84
9/25/2020  ,53,85,6.11,1284.94
9/26/2020  ,58,90,5.25,1290.19
9/27/2020  ,72,95,0.00,1290.19
9/28/2020  ,69,97,0.70,1290.89
9/29/2020  ,55,94,4.81,1295.70
9/30/2020  ,56,100,4.14,1299.84
10/1/2020  ,62,93,4.13,1303.96
10/2/2020  ,57,90,5.32,1309.28
10/3/2020  ,55,86,6.05,1315.33
10/4/2020  ,54,83,6.62,1321.95
10/5/2020  ,51,92,4.87,1326.82
10/6/2020  ,51,93,4.75,1331.57
10/7/2020  ,51,88,5.39,1336.96
10/8/2020  ,52,78,7.62,1344.57
10/9/2020  ,53,84,6.31,1350.88
10/10/2020 ,55,76,8.93,1359.81
10/11/2020 ,55,83,6.70,1366.51
10/12/2020 ,51,87,5.54,1372.05
10/13/2020 ,49,90,4.88,1376.93
10/14/2020 ,57,93,4.88,1381.80
10/15/2020 ,67,91,2.31,1384.11
10/16/2020 ,58,93,4.80,1388.91
10/17/2020 ,53,93,4.89,1393.80
10/18/2020 ,51,91,4.99,1398.79
10/19/2020 ,52,89,5.35,1404.14
10/20/2020 ,52,90,5.21,1409.35
10/21/2020 ,53,89,5.43,1414.78
10/22/2020 ,49,79,6.67,1421.45
10/23/2020 ,41,80,5.13,1426.58
10/24/2020 ,44,76,6.25,1432.83
10/25/2020 ,48,70,9.09,1441.92
10/26/2020 ,54,73,10.11,1452.02
10/27/2020 ,43,78,5.71,1457.74
10/28/2020 ,36,76,5.00,1462.74
10/29/2020 ,38,80,4.76,1467.50
10/30/2020 ,40,79,5.13,1472.63
10/31/2020 ,41,80,5.13,1477.75
11/1/2020  ,40,79,5.13,1482.88
11/2/2020  ,45,83,5.26,1488.15
11/3/2020  ,41,78,5.41,1493.55
11/4/2020  ,43,79,5.56,1499.11
11/5/2020  ,44,81,5.41,1504.51
11/6/2020  ,48,71,8.70,1513.21
11/7/2020  ,46,71,8.00,1521.21
11/8/2020  ,48,59,3.68,1524.89
11/9/2020  ,35,58,1.39,1526.28
